id_location,id_country,id_state,ds_city,latitude,longitude,division,regional
LOCA00551,US,CA,Hayward,35.703313,-118.810723,Central/Northeast,Bay Area
LOWA00553,US,WA,Spokane,47.624114,-119.862596,West,Eastern WA
LONC00554,US,NC,Fayetteville,35.662762,-79.255573,West,Carolinas Interior
LONY00566,US,NY,Buffalo,42.915079,-76.230479,Central/Northeast,New York Metro
LOTX00570,US,TX,San Antonio,30.217862,-96.926021,South/Southeast,Southeast
LOCA00575,US,CA,Sunnyvale,35.898539,-119.261865,Central/Northeast,Central Valley
LOCA00576,US,CA,Pasadena,35.886589,-119.10489,Central/Northeast,Central Valley
LOCA00577,US,CA,Sacramento,36.137764,-118.917466,Central/Northeast,Central Valley
LOMO00581,US,MO,Independence,38.732328,-92.016671,Central/Northeast,Midwest
LONY00593,US,NY,Rochester,42.771757,-75.872053,Central/Northeast,New York Metro
LOIL00595,US,IL,Naperville,41.156471,-88.963234,Central/Northeast,Chicago Metro
LOIL00596,US,IL,Peoria,41.16258,-89.003723,Central/Northeast,Chicago Metro
LOIL00597,US,IL,Elgin,41.01364,-89.043475,Central/Northeast,Chicago Metro
LOIL00598,US,IL,Waukegan,40.715251,-89.235265,Central/Northeast,Chicago Metro
LOIL00599,US,IL,Cicero,40.718858,-88.918154,Central/Northeast,Chicago Metro
LOIL00600,US,IL,Champaign,40.888614,-88.994858,Central/Northeast,Chicago Metro
LOIL00601,US,IL,Bloomington,41.24454,-89.150425,Central/Northeast,Chicago Metro
LOIL00620,US,IL,Decatur,40.94623,-88.846669,Central/Northeast,Chicago Metro
LOIL00621,US,IL,Aurora,40.837279,-89.253812,Central/Northeast,Chicago Metro
LOIL00622,US,IL,Evanston,40.873851,-89.203267,Central/Northeast,Chicago Metro
LOIL00623,US,IL,Schaumburg,41.257819,-88.815128,Central/Northeast,Chicago Metro
LOIL00624,US,IL,Bolingbrook,41.080042,-88.777124,Central/Northeast,Chicago Metro
LONC00630,US,NC,Cary,35.682203,-79.188058,West,Carolinas Interior
LOMO00635,US,MO,Lee's Summit,38.735535,-91.976395,Central/Northeast,DC Metro
LONC00644,US,NC,Wilmington,35.684464,-78.762345,West,Carolinas Interior
LODC00649,US,DC,Washington,38.790802,-77.233969,Central/Northeast,DC Metro
LODC00650,US,DC,Arlington,38.736761,-77.043735,Central/Northeast,DC Metro
LODC00651,US,DC,Alexandria,39.090809,-76.783562,Central/Northeast,DC Metro
LODC00652,US,DC,Bethesda,38.604171,-76.993552,Central/Northeast,DC Metro
LODC00653,US,DC,Silver Spring,38.850447,-77.166735,Central/Northeast,DC Metro
LODC00654,US,DC,Rockville,38.671919,-77.097431,Central/Northeast,DC Metro
LODC00655,US,DC,Chevy Chase,39.165746,-77.106078,Central/Northeast,DC Metro
LODC00656,US,DC,Washington,38.911274,-76.878189,Central/Northeast,DC Metro
LODC00657,US,DC,Arlington,38.818178,-76.716931,Central/Northeast,DC Metro
LODC00658,US,DC,Alexandria,39.177468,-77.148931,Central/Northeast,DC Metro
LODC00659,US,DC,Bethesda,38.898349,-77.119473,Central/Northeast,DC Metro
LODC00660,US,DC,Silver Spring,38.770904,-77.277868,Central/Northeast,DC Metro
LODC00661,US,DC,Rockville,38.965739,-76.998393,Central/Northeast,DC Metro
LODC00662,US,DC,Chevy Chase,38.630887,-77.132812,Central/Northeast,DC Metro
LODC00663,US,DC,Washington,39.14496,-77.156263,Central/Northeast,DC Metro
LODC00664,US,DC,Arlington,38.686937,-77.006328,Central/Northeast,DC Metro
LODC00665,US,DC,Alexandria,39.19139,-77.154767,Central/Northeast,DC Metro
LODC00666,US,DC,Bethesda,39.003281,-76.843028,Central/Northeast,DC Metro
LOIL00667,US,IL,Springfield,40.842583,-88.86307,Central/Northeast,Chicago Metro
LONC00668,US,NC,High Point,35.42067,-78.920617,West,Carolinas Interior
LONC00669,US,NC,Concord,35.580118,-78.978535,West,Carolinas Interior
LOWA00684,US,WA,Tacoma,47.254174,-119.798819,West,Eastern WA
LOWA00685,US,WA,Vancouver,47.392468,-120.188089,West,Eastern WA
LOWA00686,US,WA,Bellevue,47.224465,-119.945464,West,Eastern WA
LOVA00697,US,VA,Virginia Beach,37.606539,-79.290047,South/Southeast,Virginia Coast
LOCA00699,US,CA,Fresno,36.007256,-119.164103,Central/Northeast,Greater LA
LOTX00702,US,TX,Dallas,30.087104,-97.19538,South/Southeast,Southeast
LOTX00703,US,TX,Fort Worth,30.114563,-97.067959,South/Southeast,Southeast
LOTN00705,US,TN,Jackson,36.262038,-86.217487,West,Tennessee Valley
LOTN00706,US,TN,Nashville,35.90464,-86.231916,West,Tennessee Valley
LOCA00707,US,CA,Bakersfield,36.254816,-118.773596,Central/Northeast,Bay Area
LOCA00708,US,CA,Stockton,35.854765,-118.90401,Central/Northeast,Bay Area
LOCA00709,US,CA,Modesto,36.190333,-118.96688,Central/Northeast,Bay Area
LOCA00710,US,CA,Riverside,36.01779,-119.154889,Central/Northeast,Bay Area
LOCA00711,US,CA,San Bernardino,35.755862,-118.761671,Central/Northeast,Bay Area
LOCA00712,US,CA,Fontana,36.240251,-118.920139,Central/Northeast,Bay Area
LOCA00713,US,CA,Moreno Valley,35.903418,-119.090474,Central/Northeast,Bay Area
LOCA00714,US,CA,Oxnard,36.135573,-118.761734,Central/Northeast,Bay Area
LOCA00715,US,CA,Pomona,36.232252,-118.832075,Central/Northeast,Bay Area
LOCA00716,US,CA,Escondido,36.085219,-119.249516,Central/Northeast,Bay Area
LOCA00717,US,CA,Hayward,35.796977,-118.760867,Central/Northeast,Bay Area
LOCA00718,US,CA,Sunnyvale,36.063857,-119.294482,Central/Northeast,Bay Area
LOCA00719,US,CA,Pasadena,35.760883,-118.901899,Central/Northeast,Bay Area
LOCA00720,US,CA,Sacramento,35.703037,-119.203515,Central/Northeast,Bay Area
LOCA00721,US,CA,Fresno,36.02924,-118.884863,Central/Northeast,Bay Area
LOCA00722,US,CA,Bakersfield,36.091177,-119.165438,Central/Northeast,Bay Area
LOCA00723,US,CA,Stockton,36.127308,-119.157651,Central/Northeast,Bay Area
LOIL00724,US,IL,Rockford,40.89524,-88.852105,Central/Northeast,Great Lakes
LOIL00725,US,IL,Joliet,41.08978,-88.790466,Central/Northeast,Great Lakes
LOTN00730,US,TN,Memphis,36.094568,-85.959015,West,Nashville Metro
LOTN00733,US,TN,Knoxville,35.756205,-86.079371,West,Nashville Metro
LOTN00734,US,TN,Chattanooga,35.859121,-86.153606,West,Nashville Metro
LOTN00735,US,TN,Clarksville,36.283806,-86.064141,West,Tennessee Valley
LOIL00738,US,IL,Naperville,41.235228,-88.921317,Central/Northeast,Great Lakes
LONC00739,US,NC,Gastonia,35.676887,-78.998418,West,Carolinas Interior
LOWA00741,US,WA,Kennewick,47.546142,-120.004489,West,Eastern WA
LOCA00763,US,CA,Modesto,35.817146,-118.866529,Central/Northeast,Bay Area
LOTN00767,US,TN,Murfreesboro,35.868463,-86.28541,West,Tennessee Valley
LOTN00768,US,TN,Franklin,36.087283,-86.193734,West,Tennessee Valley
LOTX00788,US,TX,Plano,30.264275,-96.727643,South/Southeast,Southeast
LOTX00789,US,TX,Arlington,30.248919,-97.077905,South/Southeast,Southeast
LOTN00889,US,TN,Johnson City,35.709274,-85.743009,West,Nashville Metro
LOTN00891,US,TN,Bartlett,35.95691,-85.720007,West,Tennessee Valley
LOIL00894,US,IL,Peoria,41.278172,-88.788194,Central/Northeast,Chicago Metro
LOIL00898,US,IL,Elgin,40.876669,-89.068941,Central/Northeast,Chicago Metro
LOIL00900,US,IL,Waukegan,41.210682,-89.109847,Central/Northeast,Chicago Metro
LOIL00901,US,IL,Cicero,40.801696,-88.965919,Central/Northeast,Chicago Metro
LOIL00902,US,IL,Champaign,41.261693,-88.882382,Central/Northeast,Chicago Metro
LOIL00903,US,IL,Bloomington,41.042037,-89.241694,Central/Northeast,Chicago Metro
LOIL00904,US,IL,Decatur,41.069004,-88.705968,Central/Northeast,Chicago Metro
LOIL00905,US,IL,Aurora,40.78405,-88.989002,Central/Northeast,Chicago Metro
LOIL00906,US,IL,Evanston,41.226424,-88.855539,Central/Northeast,Chicago Metro
LOCA00908,US,CA,Riverside,36.118209,-118.87851,Central/Northeast,Bay Area
LONC00910,US,NC,Asheville,35.415695,-79.123845,West,Carolinas Interior
LOCA00911,US,CA,San Bernardino,36.185617,-118.813932,Central/Northeast,Greater LA
LOCA00914,US,CA,Fontana,36.220243,-118.752056,Central/Northeast,Central Valley
LOCA00915,US,CA,Moreno Valley,36.006805,-118.99909,Central/Northeast,Central Valley
LOCA00916,US,CA,Oxnard,36.178977,-118.910022,Central/Northeast,Central Valley
LOCA00917,US,CA,Pomona,36.12118,-118.822524,Central/Northeast,Central Valley
LOCA00918,US,CA,Escondido,36.234003,-119.097203,Central/Northeast,Central Valley
LOCA00919,US,CA,Hayward,35.92535,-119.243611,Central/Northeast,Central Valley
LONC00920,US,NC,Greenville,35.546968,-79.278435,West,Carolinas Interior
LONC00921,US,NC,Charlotte,35.479359,-78.974413,West,Carolinas Interior
LONC00922,US,NC,Raleigh,35.371925,-78.9455,West,Carolinas Interior
LONC00923,US,NC,Greensboro,35.2183,-79.277591,West,Carolinas Interior
LONC00924,US,NC,Durham,35.69356,-79.083886,West,Carolinas Interior
LONC00925,US,NC,Winston-Salem,35.276236,-78.986654,West,Carolinas Interior
LOTN00935,US,TN,Hendersonville,36.161996,-86.170507,West,Nashville Metro
LOTN00936,US,TN,Kingsport,36.073734,-86.248792,West,Nashville Metro
LOTN00937,US,TN,Jackson,35.731009,-85.981187,West,Nashville Metro
LOTN00938,US,TN,Nashville,36.024381,-85.917542,West,Nashville Metro
LOTN00939,US,TN,Memphis,36.135655,-85.714489,West,Nashville Metro
LOTN00940,US,TN,Knoxville,36.00978,-86.106226,West,Nashville Metro
LOTN00941,US,TN,Chattanooga,36.177112,-86.137501,West,Nashville Metro
LOTN00942,US,TN,Clarksville,35.963383,-86.252926,West,Nashville Metro
LOTN00943,US,TN,Murfreesboro,35.71521,-85.722411,West,Nashville Metro
LOTN00944,US,TN,Franklin,36.201588,-85.882415,West,Nashville Metro
LOTN00945,US,TN,Johnson City,35.945372,-86.196023,West,Nashville Metro
LOTN00946,US,TN,Bartlett,35.793862,-86.149854,West,Nashville Metro
LOTN00947,US,TN,Hendersonville,36.029536,-85.871242,West,Nashville Metro
LOTN00948,US,TN,Kingsport,36.096118,-86.13204,West,Nashville Metro
LOTN00949,US,TN,Jackson,36.272919,-85.857262,West,Nashville Metro
LOTN00950,US,TN,Nashville,36.032612,-85.932968,West,Nashville Metro
LOTN00951,US,TN,Memphis,35.95176,-86.151361,West,Nashville Metro
LOTN00952,US,TN,Knoxville,35.913584,-85.845292,West,Nashville Metro
LOTN00953,US,TN,Chattanooga,35.708636,-86.230356,West,Nashville Metro
LOTN00954,US,TN,Clarksville,35.727602,-86.275563,West,Nashville Metro
LOTN00955,US,TN,Murfreesboro,36.213276,-85.877805,West,Nashville Metro
LOTN00956,US,TN,Franklin,35.984504,-86.2413,West,Nashville Metro
LOTN00957,US,TN,Johnson City,35.99497,-86.015917,West,Nashville Metro
LOTN00958,US,TN,Bartlett,35.803921,-86.039689,West,Nashville Metro
LOTN00959,US,TN,Hendersonville,35.939103,-85.93049,West,Nashville Metro
LOTN00960,US,TN,Kingsport,36.081056,-86.272818,West,Nashville Metro
LOTN00961,US,TN,Jackson,35.924768,-85.924484,West,Nashville Metro
LOCA00963,US,CA,Sunnyvale,36.001882,-118.786106,Central/Northeast,Central Valley
LOCA00966,US,CA,Pasadena,36.095216,-119.202239,Central/Northeast,Greater LA
LOCA00967,US,CA,Sacramento,35.742341,-118.914548,Central/Northeast,Greater LA
LOCA00968,US,CA,Fresno,35.715907,-118.948535,Central/Northeast,Greater LA
LOCA00969,US,CA,Bakersfield,36.264138,-118.954715,Central/Northeast,Greater LA
LOCA00970,US,CA,Stockton,35.932902,-118.914027,Central/Northeast,Greater LA
LOCA00971,US,CA,Modesto,35.974952,-118.97263,Central/Northeast,Greater LA
LOCA00972,US,CA,Riverside,36.264879,-119.068338,Central/Northeast,Greater LA
LOCA00973,US,CA,San Bernardino,36.276714,-118.75679,Central/Northeast,Greater LA
LOIL00974,US,IL,Schaumburg,40.817475,-89.258383,South/Southeast,Midwest Interior
LOIL00975,US,IL,Bolingbrook,40.760467,-89.289067,South/Southeast,Midwest Interior
LOTX00976,US,TX,Lubbock,29.756666,-96.890196,South/Southeast,Texas Gulf
LOCA00977,US,CA,Fontana,35.742713,-119.108615,Central/Northeast,Greater LA
LOVA00982,US,VA,Norfolk,37.706925,-79.286037,South/Southeast,Virginia Coast
LONY00987,US,NY,Yonkers,43.188681,-76.130887,Central/Northeast,New York Metro
LONY00988,US,NY,Syracuse,42.770899,-75.881958,Central/Northeast,New York Metro
LOCA00990,US,CA,Moreno Valley,36.077366,-118.773517,Central/Northeast,Greater LA
LOIL01005,US,IL,Springfield,41.141043,-88.817911,Central/Northeast,Great Lakes
LOIL01006,US,IL,Rockford,40.869221,-89.193536,Central/Northeast,Great Lakes
LOIL01007,US,IL,Joliet,41.150369,-88.815899,Central/Northeast,Missouri Valley
LOIL01008,US,IL,Naperville,41.294303,-89.052429,Central/Northeast,Missouri Valley
LOWA01019,US,WA,Renton,47.423211,-119.834152,West,Eastern WA
LOTX01020,US,TX,Laredo,29.904482,-96.741546,South/Southeast,Southeast
LOTX01021,US,TX,Irving,30.215048,-97.042604,South/Southeast,Southeast
LOCA01024,US,CA,Oxnard,36.150523,-118.847274,Central/Northeast,Greater LA
LONC01034,US,NC,Fayetteville,35.261874,-78.758468,West,Carolinas Interior
LONC01035,US,NC,Cary,35.503151,-78.804126,West,Carolinas Interior
LONC01036,US,NC,Wilmington,35.39203,-78.762686,West,Carolinas Interior
LONC01037,US,NC,High Point,35.433521,-79.293497,West,Carolinas Interior
LOCA01042,US,CA,Pomona,36.243229,-119.245228,Central/Northeast,Central Valley
LOCA01043,US,CA,Escondido,35.891588,-118.729963,Central/Northeast,Central Valley
LOIL01047,US,IL,Peoria,41.270364,-88.955937,Central/Northeast,Kansas City
LOMO01069,US,MO,O'Fallon,38.579102,-92.030933,Central/Northeast,Midwest
LOMO01070,US,MO,St. Joseph,38.375926,-92.102801,Central/Northeast,Midwest
LOMO01071,US,MO,St. Charles,38.603511,-91.848575,Central/Northeast,Midwest
LOMO01072,US,MO,Blue Springs,38.674947,-91.826229,Central/Northeast,Midwest
LOMO01073,US,MO,Joplin,38.254724,-92.003348,Central/Northeast,Midwest
LOMO01074,US,MO,Florissant,38.234535,-91.970283,Central/Northeast,Midwest
LOMO01075,US,MO,Kansas City,38.464918,-91.767377,Central/Northeast,Midwest
LOMO01076,US,MO,St. Louis,38.410549,-92.22976,Central/Northeast,Midwest
LOMO01077,US,MO,Springfield,38.285795,-91.843094,Central/Northeast,Midwest
LOMO01078,US,MO,Columbia,38.570931,-92.239326,Central/Northeast,Midwest
LOMO01079,US,MO,Independence,38.250464,-91.879419,Central/Northeast,Midwest
LOMO01080,US,MO,Lee's Summit,38.243658,-91.806884,Central/Northeast,Midwest
LOMO01081,US,MO,O'Fallon,38.623745,-92.251191,Central/Northeast,Midwest
LOMO01082,US,MO,St. Joseph,38.250903,-91.708016,Central/Northeast,DC Metro
LOIL01084,US,IL,Elgin,40.924562,-89.077615,South/Southeast,Chicago Metro
LOCA01091,US,CA,Hayward,36.18768,-118.731651,Central/Northeast,Central Valley
LOCA01094,US,CA,Sunnyvale,36.291601,-118.847973,Central/Northeast,Central Valley
LOCA01095,US,CA,Pasadena,35.925756,-119.2499,Central/Northeast,Central Valley
LOCA01096,US,CA,Sacramento,36.166288,-118.964957,Central/Northeast,Central Valley
LOTN01098,US,TN,Nashville,35.954533,-85.756187,West,Nashville Metro
LOCA01103,US,CA,Fresno,35.766718,-119.004425,Central/Northeast,Central Valley
LOCA01112,US,CA,Bakersfield,35.706812,-119.018804,Central/Northeast,Greater LA
LOCA01113,US,CA,Stockton,35.733782,-119.228709,Central/Northeast,Greater LA
LOCA01114,US,CA,Modesto,35.770516,-118.910474,Central/Northeast,Greater LA
LOCA01115,US,CA,Riverside,36.147627,-118.949979,Central/Northeast,Greater LA
LOCA01116,US,CA,San Bernardino,36.277304,-119.075078,Central/Northeast,Greater LA
LOCA01117,US,CA,Fontana,35.871427,-118.778841,Central/Northeast,Greater LA
LOCA01118,US,CA,Moreno Valley,35.834158,-118.722066,Central/Northeast,Greater LA
LOCA01121,US,CA,Oxnard,35.707293,-118.718073,Central/Northeast,Greater LA
LOCA01130,US,CA,Pomona,35.725896,-118.765314,Central/Northeast,Bay Area
LONC01132,US,NC,Concord,35.516621,-78.704221,West,Carolinas Interior
LONC01133,US,NC,Gastonia,35.244278,-78.967687,West,Carolinas Interior
LONC01134,US,NC,Asheville,35.781582,-78.986141,West,Carolinas Interior
LOCA01151,US,CA,Escondido,36.077639,-118.882551,Central/Northeast,Sacramento Valley
LOCA01152,US,CA,Hayward,35.972725,-118.923465,Central/Northeast,Sacramento Valley
LOCA01153,US,CA,Sunnyvale,36.050589,-118.759305,Central/Northeast,Sacramento Valley
LOCA01154,US,CA,Pasadena,35.727268,-119.131422,Central/Northeast,Sacramento Valley
LOCA01155,US,CA,Sacramento,36.270247,-118.765842,Central/Northeast,Sacramento Valley
LOCA01156,US,CA,Fresno,35.973394,-118.92792,Central/Northeast,Sacramento Valley
LOCA01157,US,CA,Bakersfield,35.866429,-119.187127,Central/Northeast,Sacramento Valley
LOCA01158,US,CA,Stockton,35.978219,-119.087989,Central/Northeast,Sacramento Valley
LOIL01166,US,IL,Waukegan,41.050194,-89.253359,Central/Northeast,Chicago Metro
LOIL01167,US,IL,Cicero,41.284637,-88.708274,Central/Northeast,Chicago Metro
LONC01170,US,NC,Greenville,35.618897,-78.978342,West,Carolinas Interior
LONC01171,US,NC,Charlotte,35.385717,-78.811723,West,Carolinas Interior
LOCA01173,US,CA,Modesto,36.110839,-119.20243,Central/Northeast,Greater LA
LOCA01175,US,CA,Riverside,36.246556,-118.806478,Central/Northeast,Sacramento Valley
LOCA01176,US,CA,San Bernardino,36.26988,-118.864568,Central/Northeast,Sacramento Valley
LOCA01183,US,CA,Fontana,36.068049,-119.049054,Central/Northeast,Bay Area
LOCA01184,US,CA,Moreno Valley,36.259637,-118.780362,Central/Northeast,Bay Area
LOCA01185,US,CA,Oxnard,35.727131,-119.28418,Central/Northeast,Bay Area
LOCA01186,US,CA,Pomona,35.925878,-118.813668,Central/Northeast,Bay Area
LOCA01188,US,CA,Escondido,36.292366,-119.20975,Central/Northeast,Greater LA
LONY01192,US,NY,Albany,43.056478,-76.071465,Central/Northeast,Upstate NY
LONY01193,US,NY,New Rochelle,43.281949,-75.794729,Central/Northeast,Upstate NY
LONY01194,US,NY,White Plains,43.202997,-76.018784,Central/Northeast,New York Metro
LONY01195,US,NY,Troy,42.948892,-76.135956,Central/Northeast,Upstate NY
LOCA01196,US,CA,Hayward,35.733825,-118.781167,Central/Northeast,Bay Area
LOCA01198,US,CA,Sunnyvale,36.187741,-118.700169,Central/Northeast,Bay Area
LOCA01199,US,CA,Pasadena,36.297982,-118.966741,Central/Northeast,Bay Area
LOCA01200,US,CA,Sacramento,36.161392,-118.733141,Central/Northeast,Bay Area
LOCA01201,US,CA,Fresno,36.209788,-119.151591,Central/Northeast,Bay Area
LOIL01202,US,IL,Champaign,40.970326,-89.222504,Central/Northeast,Chicago Metro
LOIL01203,US,IL,Bloomington,41.272431,-88.936295,Central/Northeast,Chicago Metro
LOIL01204,US,IL,Decatur,40.837186,-88.89698,Central/Northeast,Chicago Metro
LOIL01205,US,IL,Aurora,41.070877,-89.085102,Central/Northeast,Chicago Metro
LOCA01206,US,CA,Bakersfield,35.768135,-118.897056,Central/Northeast,Bay Area
LOCA01207,US,CA,Stockton,36.012185,-118.836609,Central/Northeast,Bay Area
LOCA01208,US,CA,Modesto,36.012098,-118.788691,Central/Northeast,Bay Area
LOCA01209,US,CA,Riverside,36.031144,-118.963437,Central/Northeast,Sacramento Valley
LOCA01210,US,CA,San Bernardino,36.225992,-119.05791,Central/Northeast,Sacramento Valley
LOCA01211,US,CA,Fontana,35.780409,-119.28273,Central/Northeast,Sacramento Valley
LOCA01212,US,CA,Moreno Valley,36.153082,-118.927814,Central/Northeast,Sacramento Valley
LOCA01213,US,CA,Oxnard,36.122448,-119.172222,Central/Northeast,Sacramento Valley
LOCA01214,US,CA,Pomona,35.781823,-119.291273,Central/Northeast,Sacramento Valley
LOMO01215,US,MO,St. Charles,38.410353,-91.946049,Central/Northeast,Midwest
LOCA01220,US,CA,Escondido,35.935346,-119.037515,Central/Northeast,Central Valley
LOTN01221,US,TN,Memphis,36.242495,-86.091047,West,Tennessee Valley
LOTN01222,US,TN,Knoxville,36.008394,-85.829808,West,Tennessee Valley
LOCA01226,US,CA,Hayward,35.937926,-118.926748,Central/Northeast,Central Valley
LOCA01227,US,CA,Sunnyvale,36.217418,-118.730288,Central/Northeast,Central Valley
LOCA01228,US,CA,Pasadena,35.788244,-118.744047,Central/Northeast,Central Valley
LOCA01229,US,CA,Sacramento,35.99527,-119.145053,Central/Northeast,Central Valley
LOCA01230,US,CA,Fresno,35.975481,-118.71198,Central/Northeast,Central Valley
LOTX01233,US,TX,Garland,29.995571,-97.102749,South/Southeast,Southeast
LOCA01234,US,CA,Bakersfield,36.080041,-119.155913,Central/Northeast,Bay Area
LOCA01235,US,CA,Stockton,35.745518,-119.222672,Central/Northeast,Bay Area
LOCA01236,US,CA,Modesto,35.776828,-119.208858,Central/Northeast,Bay Area
LOCA01237,US,CA,Riverside,35.783296,-118.915475,Central/Northeast,Central Valley
LOMO01241,US,MO,Blue Springs,38.309128,-92.0926,Central/Northeast,Midwest
LOIL01245,US,IL,Evanston,41.238073,-89.015623,Central/Northeast,Midwest Interior
LONC01247,US,NC,Raleigh,35.600535,-79.196608,West,Carolinas Interior
LONC01248,US,NC,Greensboro,35.315373,-79.275479,West,Carolinas Interior
LONC01249,US,NC,Durham,35.301361,-79.132846,West,Carolinas Interior
LONC01250,US,NC,Winston-Salem,35.306206,-79.246778,West,Carolinas Interior
LONC01251,US,NC,Fayetteville,35.272382,-79.023533,West,Carolinas Interior
LONC01252,US,NC,Cary,35.3238,-79.081438,West,Carolinas Interior
LONC01253,US,NC,Wilmington,35.50205,-78.885763,West,Carolinas Interior
LONC01254,US,NC,High Point,35.223587,-78.820354,West,Carolinas Interior
LONC01255,US,NC,Concord,35.57674,-79.250945,West,Carolinas Interior
LONC01256,US,NC,Gastonia,35.724147,-78.747477,West,Carolinas Interior
LONC01257,US,NC,Asheville,35.236647,-79.133873,West,Carolinas Interior
LONC01258,US,NC,Greenville,35.683721,-78.851044,West,Carolinas Interior
LONC01259,US,NC,Charlotte,35.310713,-79.17439,West,Carolinas Interior
LONC01260,US,NC,Raleigh,35.422283,-79.009286,West,Carolinas Interior
LONC01261,US,NC,Greensboro,35.570953,-79.078652,West,Carolinas Interior
LONC01262,US,NC,Durham,35.477521,-78.851517,West,Carolinas Interior
LONC01263,US,NC,Winston-Salem,35.22201,-79.148538,West,Carolinas Interior
LONC01264,US,NC,Fayetteville,35.62801,-78.762876,West,Carolinas Interior
LONC01265,US,NC,Cary,35.507006,-78.980732,West,Carolinas Interior
LONC01266,US,NC,Wilmington,35.264303,-79.031553,West,Carolinas Interior
LONC01267,US,NC,High Point,35.51957,-79.154518,West,Carolinas Interior
LONC01268,US,NC,Concord,35.361546,-79.07363,West,Carolinas Interior
LONC01269,US,NC,Gastonia,35.212043,-79.106753,West,Carolinas Interior
LONC01270,US,NC,Asheville,35.326869,-79.103502,West,Carolinas Interior
LONC01272,US,NC,Greenville,35.271857,-78.765684,West,Carolinas Interior
LONC01273,US,NC,Charlotte,35.556155,-78.892539,West,Carolinas Interior
LOIL01274,US,IL,Schaumburg,41.173503,-89.000935,Central/Northeast,Chicago Metro
LOCA01284,US,CA,San Bernardino,35.752152,-118.977736,Central/Northeast,Bay Area
LOTX01307,US,TX,Amarillo,30.052105,-96.852736,South/Southeast,Texas Gulf
LOTX01308,US,TX,McKinney,29.958996,-97.223452,South/Southeast,Southeast
LOTX01309,US,TX,Frisco,29.870266,-97.082151,South/Southeast,Southeast
LONC01310,US,NC,Raleigh,35.58755,-78.957533,West,Carolinas Interior
LOCA01314,US,CA,Fontana,35.913658,-118.708091,Central/Northeast,Bay Area
LOCA01315,US,CA,Moreno Valley,36.063465,-119.157664,Central/Northeast,Bay Area
LOCA01316,US,CA,Oxnard,35.761069,-119.208285,Central/Northeast,Bay Area
LOCA01317,US,CA,Pomona,35.847575,-119.203591,Central/Northeast,Bay Area
LOCA01318,US,CA,Escondido,35.81194,-119.128943,Central/Northeast,Bay Area
